has_urgency,has_money,has_sensitive,has_off_platform,has_threat,has_legitimacy_marker,text_length,exclamation_count,question_count,uppercase_ratio,digit_ratio,char_entropy,avg_word_length,punctuation_density,urgency_density,money_density,sensitive_density,num_urls,url_density,ip_url,url_shortener,risky_tld,domain_spoof,verified_domain,detected_lang_int,has_urgency_ml,has_money_ml,has_sensitive_ml,has_off_platform_ml,has_threat_ml,script_mismatch,char_ngram_scam_score,label
0,0,0,0,0,0,59,0,0,0.05084745762711865,0.0,4.4131,4.3636,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,1
0,0,0,0,0,0,92,0,0,0.0,0.07608695652173914,4.5325,5.5833,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0,0,0,0,0,0,55,0,0,0.0,0.0,4.4553,5.875,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,1,0,0,0,0,85,1,0,0.047058823529411764,0.058823529411764705,5.0465,4.8462,0.011764705882352941,0.0,0.0952,0.0,1,0.09090909090909091,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.4921,0.0,1
0,0,0,0,0,0,49,0,0,0.0,0.0,4.1967,3.4545,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,60,0,0,0.1,0.05,4.3614,4.7778,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.1395,0.0,1
0,0,0,0,0,0,17,0,1,0.0,0.0,3.4992,4.6667,0.058823529411764705,0.0,0.0,0.0,0,0.0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,82,0,0,0.0,0.036585365853658534,4.4916,6.6,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,47,0,0,0.0,0.0,4.4145,6.8333,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,1,0,0,0,0,87,1,0,0.04597701149425287,0.05747126436781609,5.0379,6.0909,0.011494252873563218,0.0,0.0952,0.0,1,0.1111111111111111,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.4776,0.0,1
